"","X","teamRslt","teamAST","teamTO","teamSTL","teamBLK","teamPF","teamFG.","team2P.","team3P.","teamFT.","teamTRB","opptAST","opptTO","opptSTL","opptBLK","opptPF","opptFG.","oppt2P.","oppt3P.","opptFT.","opptTRB"
"8374",8374,"Win",11,14,7,9,22,0.4521,0.4727,0.3889,0.7241,47,17,10,5,2,18,0.3548,0.411,0.15,0.5652,48
"8375",8375,"Loss",16,14,1,2,29,0.3816,0.451,0.24,0.8824,45,24,7,6,1,17,0.4146,0.4889,0.3243,0.6154,53
"8376",8376,"Win",24,7,6,1,17,0.4146,0.4889,0.3243,0.6154,53,16,14,1,2,29,0.3816,0.451,0.24,0.8824,45
"8377",8377,"Win",20,13,7,5,18,0.4267,0.4068,0.5,0.8214,48,19,16,10,6,18,0.3929,0.4286,0.2143,0.6667,47
"8378",8378,"Loss",19,16,10,6,18,0.3929,0.4286,0.2143,0.6667,47,20,13,7,5,18,0.4267,0.4068,0.5,0.8214,48
"8379",8379,"Win",19,19,8,2,19,0.4819,0.5397,0.3,0.7917,53,20,13,10,2,17,0.4337,0.4483,0.4,0.8421,33
"8380",8380,"Loss",20,13,10,2,17,0.4337,0.4483,0.4,0.8421,33,19,19,8,2,19,0.4819,0.5397,0.3,0.7917,53
"8381",8381,"Loss",26,16,7,4,20,0.5,0.5385,0.4091,0.6061,37,31,11,9,2,22,0.5233,0.5161,0.5417,0.9474,39
"8382",8382,"Win",31,11,9,2,22,0.5233,0.5161,0.5417,0.9474,39,26,16,7,4,20,0.5,0.5385,0.4091,0.6061,37
"8383",8383,"Loss",17,13,8,4,24,0.4074,0.4127,0.3889,0.5385,40,17,17,4,7,24,0.4133,0.4583,0.3333,0.75,48
"8384",8384,"Win",17,17,4,7,24,0.4133,0.4583,0.3333,0.75,48,17,13,8,4,24,0.4074,0.4127,0.3889,0.5385,40
"8385",8385,"Loss",27,13,7,0,23,0.419,0.52,0.1667,0.6522,52,34,14,9,5,22,0.5,0.569,0.3571,0.6522,47
"8386",8386,"Win",34,14,9,5,22,0.5,0.569,0.3571,0.6522,47,27,13,7,0,23,0.419,0.52,0.1667,0.6522,52
"8387",8387,"Loss",30,12,8,4,21,0.4607,0.4848,0.3913,0.4706,33,28,15,7,6,17,0.6049,0.6379,0.5217,0.8,47
"8388",8388,"Win",28,15,7,6,17,0.6049,0.6379,0.5217,0.8,47,30,12,8,4,21,0.4607,0.4848,0.3913,0.4706,33
"8389",8389,"Loss",26,15,11,5,14,0.4405,0.5,0.3077,0.75,32,27,16,8,7,19,0.5,0.5323,0.4231,0.8571,46
"8390",8390,"Win",27,16,8,7,19,0.5,0.5323,0.4231,0.8571,46,26,15,11,5,14,0.4405,0.5,0.3077,0.75,32
"8391",8391,"Win",23,11,4,8,18,0.5122,0.541,0.4286,0.88,42,21,9,6,8,19,0.4565,0.4677,0.4333,0.8421,37
"8392",8392,"Loss",21,9,6,8,19,0.4565,0.4677,0.4333,0.8421,37,23,11,4,8,18,0.5122,0.541,0.4286,0.88,42
"8393",8393,"Win",27,13,8,11,15,0.4535,0.4762,0.3913,0.8333,54,19,11,5,2,12,0.3407,0.4355,0.1379,0.6923,45
